experience_required,experience_squared,experience_log,location_encoded,company_size_encoded,job_title_encoded,company_encoded,industry_encoded,education_encoded,job_title_popularity,posted_days_ago,posted_month,seniority_score,location_experience_interaction,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28,skill_29
1.0,1.0,0.6931471805599453,15.965,2.0,8.0,5.0,4.0,3.0,535.0,328.0,10.0,2.0,15.965,0.44512649564600554,0.0,0.0,0.0,0.0,0.0,0.0,0.4500990641402737,0.0,0.0,0.0,0.0,0.0,0.0,0.4460606411568374,0.0,0.0,0.0,0.0,0.0,0.0,0.4448938934166063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4498583814327804
5.0,25.0,1.791759469228055,12.46,3.0,14.0,22.0,5.0,3.0,558.0,58.0,7.0,15.0,62.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6143062666918686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4905140085597567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180807537124399,0.0,0.0
1.0,1.0,0.6931471805599453,14.915,2.0,1.0,0.0,2.0,3.0,527.0,13.0,9.0,2.0,14.915,0.0,0.0,0.0,0.0,0.4102418852262138,0.0,0.0,0.0,0.4104589514596221,0.40745170590062113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40819718504419383,0.4078771836808175,0.0,0.0,0.0,0.0,0.0,0.0,0.40523994532373564,0.0
13.0,169.0,2.6390573296152584,15.46,3.0,7.0,15.0,5.0,0.0,548.0,141.0,5.0,39.0,200.98000000000002,0.0,0.44710182194948717,0.0,0.0,0.0,0.44201949360520887,0.0,0.0,0.4485192300390614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44710182194948717,0.0,0.45127507041388903,0.0,0.0
1.0,1.0,0.6931471805599453,12.58,3.0,8.0,8.0,4.0,4.0,535.0,126.0,5.0,3.0,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708985902574537,0.705222652749165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,196.0,2.70805020110221,12.58,4.0,1.0,2.0,5.0,1.0,527.0,115.0,5.0,56.0,176.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,100.0,2.3978952727983707,15.46,5.0,1.0,7.0,7.0,2.0,527.0,72.0,7.0,50.0,154.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.6931471805599453,12.46,4.0,13.0,5.0,2.0,3.0,547.0,53.0,7.0,4.0,12.46,0.4214277521406791,0.0,0.0,0.0,0.0,0.0,0.4183762793780224,0.0,0.0,0.4207681504054896,0.0,0.0,0.0,0.0,0.0,0.0,0.33845654677030046,0.0,0.42197984332393385,0.0,0.42153799349576115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,1.3862943611198906,15.03,2.0,7.0,11.0,3.0,4.0,548.0,347.0,10.0,6.0,45.089999999999996,0.0,0.0,0.0,0.0,0.46665381064002903,0.0,0.46084528896229277,0.0,0.0,0.4634799567222632,0.0,0.0,0.0,0.0,0.0,0.0,0.3728129743144621,0.0,0.4648146475273064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,169.0,2.6390573296152584,15.03,4.0,5.0,17.0,7.0,1.0,560.0,280.0,12.0,52.0,195.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,36.0,1.9459101490553132,15.3,3.0,11.0,24.0,4.0,3.0,548.0,45.0,8.0,18.0,91.80000000000001,0.0,0.0,0.0,0.46259511235237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37190719964713886,0.46812656087595533,0.0,0.0,0.4631998293484899,0.0,0.46259511235237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
