job_id,job_title,company,location,company_size,industry,experience_required,education,posted_date,skills,salary,applications,views
JOB_000000,Frontend Developer,Cognizant,Mumbai,Small,Healthcare,1,Master,2025-10-29 15:09:05.910239,"TensorFlow,Kafka,Pandas,PostgreSQL,Excel,Angular",8.26,163,3443
JOB_000001,Senior Developer,Uber,Jaipur,Mid,Logistics,5,Master,2026-07-26 15:09:05.910257,"Statistics,Deep Learning,FastAPI,Leadership",17.32,17,3846
JOB_000002,Analytics Engineer,Accenture,Pune,Small,Education,1,Master,2026-09-09 15:09:05.910261,"JIRA,GCP,PostgreSQL,NumPy,AWS,Tableau,Communication,FastAPI",9.02,147,519
JOB_000003,DevOps Engineer,Startup_A,Gurugram,Mid,Logistics,13,Bachelor,2026-05-04 15:09:05.910264,"REST API,Django,Pandas,Statistics,Java,FastAPI,Leadership",23.61,161,3116
JOB_000004,Frontend Developer,HCL,Kolkata,Mid,Healthcare,1,PhD,2026-05-19 15:09:05.910265,"Git,FastAPI,Excel",7.3,390,1270
JOB_000005,Analytics Engineer,Amazon,Kolkata,Large,Logistics,14,Bootcamp,2026-05-30 15:09:05.910267,"PostgreSQL,Spark",16.21,496,2312
JOB_000006,Analytics Engineer,Google,Gurugram,Enterprise,Technology,10,Diploma,2026-07-12 15:09:05.910269,"GCP,Python",12.96,209,2250
JOB_000007,Python Developer,Cognizant,Jaipur,Large,Education,1,Master,2026-07-31 15:09:05.910270,"AWS,Agile,Machine Learning,Angular,Docker,Problem Solving,GCP,NumPy",8.16,423,1613
JOB_000008,DevOps Engineer,Meta,Delhi,Small,Finance,3,PhD,2025-10-10 15:09:05.910271,"AWS,GCP,Spark,Docker,Machine Learning,Communication",15.0,431,2577
JOB_000009,Data Engineer,Startup_C,Delhi,Large,Technology,13,Bootcamp,2025-12-16 15:09:05.910273,"SQL,Spark,JIRA,Problem Solving,Pandas,Excel",24.44,265,3740
JOB_000010,Machine Learning Engineer,Wipro,Hyderabad,Mid,Healthcare,6,Master,2026-08-08 15:09:05.910275,"Linux,Deep Learning,NumPy,Power BI",14.03,229,848
JOB_000011,Business Analyst,Uber,Bangalore,Small,Technology,14,PhD,2025-11-23 15:09:05.910276,"JavaScript,Scikit-learn,Pandas",17.15,202,640
JOB_000012,Backend Engineer,Startup_A,Jaipur,Large,Logistics,5,Bootcamp,2026-02-17 15:09:05.910277,"Kafka,Java,Power BI,Scikit-learn,Angular,Docker,JIRA,REST API",11.7,233,3446
JOB_000013,Machine Learning Engineer,Startup_A,Chennai,Startup,Logistics,4,PhD,2026-09-05 15:09:05.910279,"Pandas,Azure,JIRA,Kafka,GraphQL,React,MongoDB,R",9.96,408,748
JOB_000014,Data Scientist,IBM,Chennai,Enterprise,Logistics,3,Diploma,2026-09-06 15:09:05.910280,"AWS,PostgreSQL,Kafka,Statistics",15.62,303,3873
JOB_000015,Business Analyst,HCL,Jaipur,Startup,Education,1,PhD,2026-08-05 15:09:05.910281,"GraphQL,Node.js,Azure,AWS,REST API,MongoDB,Hadoop",5.31,402,3077
JOB_000016,Business Analyst,Paytm,Gurugram,Small,Healthcare,10,PhD,2026-06-02 15:09:05.910282,"Hadoop,Spark,TensorFlow,Problem Solving,Azure",12.44,323,1496
JOB_000017,Solutions Architect,IBM,Chennai,Large,Finance,7,Bachelor,2026-05-25 15:09:05.910284,"Java,Django,Leadership,Node.js,Tableau,Scikit-learn",27.83,387,3792
JOB_000018,AI/ML Engineer,Capgemini,Chennai,Mid,Manufacturing,12,Diploma,2026-01-06 15:09:05.910285,"Azure,REST API",15.0,152,2396
JOB_000019,Junior Developer,Apple,Bangalore,Large,Manufacturing,11,PhD,2025-11-17 15:09:05.910286,"Kafka,NumPy,Python,Tableau,SQL,Node.js,Spark",14.76,425,3064
JOB_000020,Senior Developer,Accenture,Kolkata,Small,Consulting,1,Diploma,2026-09-08 15:09:05.910288,"Power BI,NumPy",10.03,391,390
JOB_000021,Senior Developer,Infosys,Kolkata,Small,E-commerce,14,PhD,2025-12-08 15:09:05.910289,"Agile,Tableau,MongoDB,Deep Learning,Leadership,Scikit-learn,Django,PyTorch",25.15,411,2144
JOB_000022,Business Analyst,Uber,Jaipur,Small,Finance,14,Diploma,2026-06-12 15:09:05.910290,"R,Pandas,Node.js,Statistics",11.21,285,1264
JOB_000023,Data Engineer,HCL,Noida,Small,Technology,10,Bootcamp,2025-10-24 15:09:05.910291,"Hadoop,GCP,Angular,Statistics",15.1,404,261
JOB_000024,Full Stack Developer,Startup_E,Kolkata,Large,E-commerce,7,Master,2025-09-27 15:09:05.910293,"TensorFlow,PostgreSQL,Node.js,Pandas,Leadership,PyTorch,Statistics",14.29,97,1453
